Unique ID,Longitude (X),Latitude (Y),Match,State_Code,County_Code,Tract_Code,Block_Code,GEOID,state,county,cbsa,poverty_rate,mfi,state_mfi,cbsa_mfi,area_mfi,mfi_ratio,eligible_lic,rural_status,DC_Status,DC_Confidence,GEO_fixed,both
bitfarms-moses-lake-wa,-119.2781,47.1301,Match,53,25,11102,1012,53025011102,Washington,Grant County,NA,31.021801,65149,118075,NA,118075,0.55175948,1,1,under_construction,confirmed,53025011102,1
digital-realty-charlotte-nc,-80.9562,35.2422,Match,37,119,5919,2004,37119005919,North Carolina,Mecklenburg County,"Charlotte-Concord-Gastonia, NC-SC",2.6275587,111184,90290,102246,102246,1.0874166,0,0,permitted,confirmed,37119005919,0
flexential-charlotte-north-clt04-05-nc,-80.7657588,35.329773,Match,37,119,5533,1007,37119005533,North Carolina,Mecklenburg County,"Charlotte-Concord-Gastonia, NC-SC",13.614704,88625,90290,102246,102246,0.86678207,0,0,operational,reported,37119005533,0
riot-platforms-corsicana-tx,-96.47,32.09,Match,48,349,970800,1094,48349970800,Texas,Navarro County,NA,16.185696,90179,94599,NA,94599,0.95327646,0,1,operational,reported,48349970800,0
rattlesnake-creek-wind-dixon-ne,-96.8,42.35,Match,31,51,977800,1183,31051977800,Nebraska,Dixon County,NA,7.5299306,81719,99751,NA,99751,0.8192299,0,1,operational,confirmed,31051977800,0
cloverleaf-cherry-blossom-frenchtown-mi,-83.386,41.988,Match,26,115,831100,1025,26115831100,Michigan,Monroe County,"Monroe, MI",12.756114,89000,93357,95770,95770,0.92930979,0,1,proposed,confirmed,26115831100,0
burt-county-solar-tekamah-ne,-96.2214,41.7778,Match,31,21,963300,1108,31021963300,Nebraska,Burt County,NA,13.121019,86250,99751,NA,99751,0.86465299,0,1,proposed,reported,31021963300,0
valley-oak-shinn-street-fremont-ca,-121.983674,37.567072,Match,6,1,441924,3002,6001441924,California,Alameda County,"San Francisco-Oakland-Fremont, CA",9.6995258,206944,113346,164296,164296,1.2595803,0,0,proposed,reported,06001441924,0
nautilus-cryptomine-building-1-pa,-76.1514194,41.0826255,Match,42,79,216100,2016,42079216100,Pennsylvania,Luzerne County,"Scranton--Wilkes-Barre, PA",6.2263675,99441,100262,85514,85514,1.1628622,0,1,operational,reported,42079216100,0
davis-besse-nuclear-ottawa-county-oh,-83.08639,41.59667,Match,39,123,50800,1003,39123050800,Ohio,Ottawa County,"Sandusky, OH",4.6277666,99904,92749,93585,93585,1.0675215,0,1,operational,confirmed,39123050800,0
logix-reality-frankfort-clinton-county-in,-86.5108,40.2792,Match,18,23,950800,1009,18023950800,Indiana,Clinton County,NA,18.468084,72706,90767,NA,90767,0.801018,0,1,cancelled,reported,18023950800,0
flexential-denver-downtown-champa-co,-104.9941589,39.7459702,Match,8,31,1707,2000,8031001707,Colorado,Denver County,"Denver-Aurora-Centennial, CO",7.9661016,250000,119139,132002,132002,1.8939106000000001,0,0,operational,reported,08031001707,0
google-project-dazzler-franklin-furnace-oh,-82.72,38.68,Match,39,145,2700,3050,39145002700,Ohio,Scioto County,NA,10.206637,86202,92749,NA,92749,0.92941165,0,1,permitted,confirmed,39145002700,0
lightedge-ames-ia,-93.6319,42.0308,Match,19,169,500,2009,19169000500,Iowa,Story County,"Ames, IA",58.213985,29189,97491,114739,114739,0.25439477,1,0,proposed,reported,19169000500,0
intermountain-power-delta-ut,-112.57998,39.51034,Match,49,27,974100,1020,49027974100,Utah,Millard County,NA,9.0486336,78261,109675,NA,109675,0.71357191,0,1,operational,confirmed,49027974100,0
tract-project-range-buckeye-goodyear-az,-112.512,33.435,Match,4,13,50613,3000,4013050613,Arizona,Maricopa County,"Phoenix-Mesa-Chandler, AZ",0.73900503,107012,95980,103615,103615,1.0327848,0,0,proposed,reported,04013050613,0
h5-data-centers-st-paul-mn,-93.167,44.974,Match,27,123,30100,3000,27123030100,Minnesota,Ramsey County,"Minneapolis-St. Paul-Bloomington, MN-WI",5.7188067,137926,113993,126705,126705,1.08856,0,0,operational,reported,27123030100,0
meta-kuna-id,-116.418,43.491,Match,16,1,10404,2013,16001010404,Idaho,Ada County,"Boise City, ID",14.984552,89203,92668,101292,101292,0.88065195,0,1,under_construction,confirmed,16001010404,0
cyrusone-new-albany-col1-licking-county-oh,-82.718059,40.09294,Match,39,89,755601,1031,39089755601,Ohio,Licking County,"Columbus, OH",2.3718438,170039,92749,104588,104588,1.6257983,0,0,under_construction,confirmed,39089755601,0
viking-energy-center-cedar-falls-ia,-92.4805,42.4905,Match,19,13,2606,1000,19013002606,Iowa,Black Hawk County,"Waterloo-Cedar Falls, IA",6.8850636,202067,97491,90741,90741,2.2268546,0,0,permitted,reported,19013002606,0
flexential-las-vegas-north-las04-nv,-115.1012553,36.2481633,Match,32,3,3626,1021,32003003626,Nevada,Clark County,"Las Vegas-Henderson-North Las Vegas, NV",7.1932297,128480,92663,89785,89785,1.430974,0,0,operational,reported,32003003626,0
vermaland-la-osa-eloy-az,-111.55,32.75,Match,4,21,2004,1066,4021002004,Arizona,Pinal County,"Phoenix-Mesa-Chandler, AZ",30.74262,54046,95980,103615,103615,0.521604,1,1,cancelled,reported,04021002004,1
cleanspark-twin-city-ga,-82.1551,32.5829,Match,13,107,970101,2099,13107970101,Georgia,Emanuel County,NA,24.098961,68924,93754,NA,93754,0.73515797,1,1,operational,confirmed,13107970101,1
digital-realty-ord11-il,-87.6299404,41.8743036,Match,17,31,839000,1000,17031839000,Illinois,Cook County,"Chicago-Naperville-Elgin, IL-IN",15.946844,170407,106018,113207,113207,1.5052691,0,0,operational,reported,17031839000,0
compass-statesville-nc,-80.8873,35.7826,Match,37,97,60300,3000,37097060300,North Carolina,Iredell County,"Charlotte-Concord-Gastonia, NC-SC",25.135233,58234,90290,102246,102246,0.56954795,1,1,proposed,confirmed,37097060300,1
duke-energy-buck-combustion-turbines-rowan-county-nc,-80.37694,35.71194,Match,37,159,50901,1007,37159050901,North Carolina,Rowan County,"Charlotte-Concord-Gastonia, NC-SC",17.91292,62277,90290,102246,102246,0.60908985,1,1,proposed,reported,37159050901,1
dc-blox-atlanta-west-ga,-84.6608,33.7882,Match,13,97,80204,1020,13097080204,Georgia,Douglas County,"Atlanta-Sandy Springs-Roswell, GA",5.9840426,78728,93754,107388,107388,0.73311728,0,0,under_construction,confirmed,13097080204,0
tierpoint-kansas-city-lenexa-ks,-94.7552326,38.9406295,Match,20,91,980001,1035,20091980001,Kansas,Johnson County,"Kansas City, MO-KS",NA,NA,95810,106867,106867,NA,0,0,operational,reported,20091980001,0
cascade-advanced-energy-facility-wa,-119.3339,46.4706,Match,53,5,12000,1013,53005012000,Washington,Benton County,"Kennewick-Richland, WA",NA,NA,118075,101145,101145,NA,0,0,proposed,confirmed,53005012000,0
tierpoint-baltimore-bwi-md,-76.682834,39.213455,Match,24,3,751200,2012,24003751200,Maryland,Anne Arundel County,"Baltimore-Columbia-Towson, MD",3.0109146,144336,127817,126229,126229,1.1434456,0,0,operational,reported,24003751200,0
agriforce-east-palestine-columbiana-oh,-80.5432,40.8326,Match,39,29,951500,5025,39029951500,Ohio,Columbiana County,NA,17.938931,56106,92749,NA,92749,0.60492295,1,1,operational,reported,39029951500,1
copt-defense-properties-van-meter-ia,-93.9469,41.5031,Match,19,121,60101,2013,19121060101,Iowa,Madison County,"Des Moines-West Des Moines, IA",5.3378029,122170,97491,110255,110255,1.1080676,0,0,proposed,reported,19121060101,0
digihost-north-tonawanda-ny,-78.85360658271534,43.0483121591696,Match,36,63,22804,2019,36063022804,New York,Niagara County,"Buffalo-Cheektowaga, NY",8.7682676,81429,106873,96701,96701,0.84206986,0,0,operational,confirmed,36063022804,0
equinix-sv2-ca,-121.9549839,37.3784704,Match,6,85,505202,2042,6085505202,California,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",19.125883,163550,113346,184762,184762,0.88519287,0,0,operational,reported,06085505202,0
bitdeer-whitetail-creek-trumbull-county-oh,-80.77,41.19,Match,39,155,932801,2005,39155932801,Ohio,Trumbull County,"Youngstown-Warren, OH",12.769354,64239,92749,76609,76609,0.83853072,0,0,proposed,reported,39155932801,0
microsoft-conover-catawba-county-nc,-81.2184,35.7065,Match,37,35,10102,1014,37035010102,North Carolina,Catawba County,"Hickory-Lenoir-Morganton, NC",13.216314,95162,90290,76116,76116,1.2502234,0,1,under_construction,confirmed,37035010102,0
switch-las-vegas-14-nv,-115.2213882,36.0629139,Match,32,3,2979,1029,32003002979,Nevada,Clark County,"Las Vegas-Henderson-North Las Vegas, NV",4.1470127,104167,92663,89785,89785,1.1601827,0,0,operational,reported,32003002979,0
aligned-conesville-oh,-81.83,40.27,Match,39,31,961700,1019,39031961700,Ohio,Coshocton County,NA,16.47315,90200,92749,NA,92749,0.97251725,0,1,under_construction,reported,39031961700,0
cyrusone-pnw1-quincy-wa,-119.8528,47.2334,Match,53,25,10600,2019,53025010600,Washington,Grant County,NA,8.8303165,90379,118075,NA,118075,0.76543725,0,1,operational,confirmed,53025010600,0
bobcat-energy-center-ia,-92.908,42.0494,Match,19,127,950500,4027,19127950500,Iowa,Marshall County,NA,12.927009,76912,97491,NA,97491,0.78891385,0,1,permitted,confirmed,19127950500,0
vaultas-st-cloud-mn,-94.2023528,45.5405392,Match,27,145,401,1003,27145000401,Minnesota,Stearns County,"St. Cloud, MN",18.213207,77226,113993,99597,99597,0.77538478,0,0,proposed,reported,27145000401,0
aws-pdx154-boardman-airport-or,-119.81621,45.81556,Match,41,49,970101,3064,41049970101,Oregon,Morrow County,NA,14.84708,76777,102281,NA,102281,0.75064772,0,1,permitted,reported,41049970101,0
aws-resilient-technology-park-shreveport-la,-93.7477839,32.5135356,Match,22,17,25300,3039,22017025300,Louisiana,Caddo Parish,"Shreveport-Bossier City, LA",61.094223,14367,79407,75242,75242,0.19094388,1,0,proposed,reported,22017025300,0
stack-svy01-ca,-121.891051,37.4027449,Match,6,85,504322,2001,6085504322,California,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",14.22895,177746,113346,184762,184762,0.96202683,0,0,operational,reported,06085504322,0
data-holdings-milwaukee-wi,-87.9540068,43.0437366,Match,55,79,13600,3002,55079013600,Wisconsin,Milwaukee County,"Milwaukee-Waukesha, WI",41.099346,80000,100141,104346,104346,0.76668006,1,0,operational,confirmed,55079013600,0
tract-buckeye-tech-corridor-az,-112.7203,33.4136,Match,4,13,50604,2022,4013050604,Arizona,Maricopa County,"Phoenix-Mesa-Chandler, AZ",9.8280096,86481,95980,103615,103615,0.83463782,0,0,permitted,reported,04013050604,0
aws-butts-county-ga,-83.9663,33.2946,Match,13,35,150201,1032,13035150201,Georgia,Butts County,"Atlanta-Sandy Springs-Roswell, GA",19.040953,50618,93754,107388,107388,0.47135621,1,1,proposed,confirmed,13035150201,1
spalding-investments-high-falls-road-campus-ga,-84.2641,33.2468,Match,13,255,161202,1011,13255161202,Georgia,Spalding County,"Atlanta-Sandy Springs-Roswell, GA",21.699545,76654,93754,107388,107388,0.71380413,1,1,permitted,reported,13255161202,1
hostdime-eatonville-fl,-81.3806,28.6106,Match,12,95,18000,2022,12095018000,Florida,Orange County,"Orlando-Kissimmee-Sanford, FL",21.839081,56818,89891,91538,91538,0.620704,1,0,under_construction,confirmed,12095018000,0
crg-festus-data-center-mo,-90.399,38.2192,Match,29,99,700801,5031,29099700801,Missouri,Jefferson County,"St. Louis, MO-IL",14.089858,84715,91360,105167,105167,0.80552834,0,0,permitted,reported,29099700801,0
ryan-companies-project-swan-lakeland-fl,-82.0054,28.0305,Match,12,105,12003,1030,12105012003,Florida,Polk County,"Lakeland-Winter Haven, FL",8.0545225,77193,89891,76474,76474,1.0094019,0,0,proposed,reported,12105012003,0
armstrong-power-south-bend-township-armstrong-county-pa,-79.417,40.667,Match,42,5,951700,1002,42005951700,Pennsylvania,Armstrong County,"Pittsburgh, PA",5.6881814,95521,100262,102107,102107,0.93549901,0,1,operational,reported,42005951700,0
ocosa-321-south-boston-tulsa-ok,-95.9905,36.1535,Match,40,143,2500,1062,40143002500,Oklahoma,Tulsa County,"Tulsa, OK",23.428375,72317,82385,88320,88320,0.81880659,1,0,operational,reported,40143002500,0
