Unique ID,Longitude (X),Latitude (Y),Match,State_Code,County_Code,Tract_Code,Block_Code,GEOID,state,county,cbsa,poverty_rate,mfi,state_mfi,cbsa_mfi,area_mfi,mfi_ratio,eligible_lic,rural_status,DC_Status,DC_Confidence
cipher-colchis-tom-green-tx,-100.3212098,31.5290977,Match,48,451,1600,2105,48451001600,Texas, Tom Green County,"San Angelo, TX",7.5621891,108472.0,94599.0,83906.0,83906.0,1.29278,0.0,0.0,proposed,confirmed
cirrus-data-services-midvale-ut,-111.8994,40.6111,Match,49,35,112404,2008,49035112404,Utah, Salt Lake County,"Salt Lake City-Murray, UT",11.925176,65446.0,109675.0,116518.0,116518.0,0.56168145,1.0,0.0,operational,reported
stack-dfw02-lancaster-tx,-96.7561083,32.5920798,Match,48,113,16803,3050,48113016803,Texas, Dallas County,"Dallas-Fort Worth-Arlington, TX",15.457185,54351.0,94599.0,108711.0,108711.0,0.4999586,1.0,0.0,under_construction,reported
crusoe-warrenton-mo,-91.1432,38.8125,Match,29,219,820106,1047,29219820106,Missouri, Warren County,"St. Louis, MO-IL",7.2174563,100040.0,91360.0,105167.0,105167.0,0.95124894,0.0,1.0,permitted,reported
sentinum-bni-montana-richland-mt,-104.155973,47.716735,Match,30,83,70400,2006,30083070400,Montana, Richland County,,5.3780451,90926.0,92794.0,,92794.0,0.97986937,0.0,1.0,operational,confirmed
beale-project-clydesdale-tulsa-county-ok,-95.83,36.28,Match,40,143,5812,1008,40143005812,Oklahoma, Tulsa County,"Tulsa, OK",1.3579576,145245.0,82385.0,88320.0,88320.0,1.6445313,0.0,0.0,under_construction,confirmed
we-energies-oak-creek-natural-gas-wi,-87.8347,42.8858,Match,55,79,990000,5,55079990000,Wisconsin, Milwaukee County,"Milwaukee-Waukesha, WI",,,100141.0,104346.0,104346.0,,0.0,1.0,under_construction,confirmed
stargate-milam-county-tx,-96.972,30.852,Match,48,331,950401,2066,48331950401,Texas, Milam County,,12.401456,72604.0,94599.0,,94599.0,0.76749223,0.0,1.0,under_construction,reported
expedient-cmh1-upper-arlington-oh,-83.078426,40.0578366,Match,39,49,6340,1000,39049006340,Ohio, Franklin County,"Columbus, OH",2.3945267,201250.0,92749.0,104588.0,104588.0,1.924217,0.0,0.0,operational,reported
novva-west-jordan-ut,-112.04576,40.57389,Match,49,35,115211,3028,49035115211,Utah, Salt Lake County,"Salt Lake City-Murray, UT",7.4424343,137180.0,109675.0,116518.0,116518.0,1.1773288,0.0,0.0,operational,confirmed
talen-susquehanna-aws-pa,-76.14889,41.08889,Match,42,79,216100,2016,42079216100,Pennsylvania, Luzerne County,"Scranton--Wilkes-Barre, PA",6.2263675,99441.0,100262.0,85514.0,85514.0,1.1628622,0.0,1.0,operational,confirmed
google-columbia-county-ga,-82.2563979,33.5313102,Match,13,73,30403,2014,13073030403,Georgia, Columbia County,"Augusta-Richmond County, GA-SC",7.1749907,120145.0,93754.0,84944.0,84944.0,1.4144025,0.0,0.0,proposed,confirmed
fortitude-grand-island-ne,-98.35861,40.92167,Match,31,79,300,5072,31079000300,Nebraska, Hall County,"Grand Island, NE",13.731295,73889.0,99751.0,87758.0,87758.0,0.84196311,0.0,0.0,operational,reported
element-critical-chicago-one-il,-87.9646913,41.9757324,Match,17,43,840101,4033,17043840101,Illinois, DuPage County,"Chicago-Naperville-Elgin, IL-IN",7.2818232,95225.0,106018.0,113207.0,113207.0,0.84115821,0.0,0.0,operational,reported
simple-mining-cedar-falls-ia,-92.4453,42.5347,Match,19,13,2200,3005,19013002200,Iowa, Black Hawk County,"Waterloo-Cedar Falls, IA",12.563215,100903.0,97491.0,90741.0,90741.0,1.111989,0.0,0.0,cancelled,confirmed
google-project-louie-monrovia-in,-86.35,39.57,Match,18,109,510202,5021,18109510202,Indiana, Morgan County,"Indianapolis-Carmel-Greenwood, IN",17.826284,90163.0,90767.0,102227.0,102227.0,0.88198811,0.0,0.0,under_construction,confirmed
virginia-technology-park-clear-brook-frederick-va,-78.096111,39.2564912,Match,51,69,50100,2051,51069050100,Virginia, Frederick County,"Winchester, VA-WV",4.5338116,112330.0,115213.0,105992.0,105992.0,1.0597969,0.0,1.0,proposed,reported
firstlight-portsmouth-nh-data-center-nh,-70.8080395,43.0761287,Match,33,15,107400,2037,33015107400,New Hampshire, Rockingham County,"Boston-Cambridge-Newton, MA-NH",5.7350564,101000.0,122715.0,145780.0,145780.0,0.69282478,1.0,1.0,operational,reported
microsoft-firecracker-rome-ga,-85.16,34.27,Match,13,115,600,2000,13115000600,Georgia, Floyd County,"Rome, GA",27.820053,52034.0,93754.0,80531.0,80531.0,0.64613628,1.0,1.0,permitted,reported
qts-eagle-mountain-ii-fairfield-ut,-112.093,40.26217,Match,49,49,10107,4039,49049010107,Utah, Utah County,"Provo-Orem-Lehi, UT",7.4069095,132173.0,109675.0,110937.0,110937.0,1.191424,0.0,1.0,under_construction,reported
aws-sprigg-township-adams-county-oh,-83.69306,38.63778,Match,39,1,770600,2048,39001770600,Ohio, Adams County,,37.03828,37181.0,92749.0,,92749.0,0.40087762,1.0,1.0,permitted,confirmed
digital-realty-new-york-ewr12-nj,-74.4592038,40.5529283,Match,34,23,603,2026,34023000603,New Jersey, Middlesex County,"New York-Newark-Jersey City, NY-NJ",1.9766397,154318.0,127025.0,120744.0,120744.0,1.2780594,0.0,0.0,operational,reported
cleanspark-campbell-junction-tn,-85.1692,36.0436,Match,47,35,970301,2043,47035970301,Tennessee, Cumberland County,,16.276596,65058.0,87314.0,,87314.0,0.7451039,0.0,1.0,operational,confirmed
gw-ranch-pacifico-energy-pecos-county-tx,-102.88,31.05,Match,48,371,950100,1242,48371950100,Texas, Pecos County,,13.205352,83036.0,94599.0,,94599.0,0.87776828,0.0,1.0,proposed,rumored
lightedge-chaska-mn,-93.635,44.828,Match,27,19,90802,1002,27019090802,Minnesota, Carver County,"Minneapolis-St. Paul-Bloomington, MN-WI",2.1876314,206845.0,113993.0,126705.0,126705.0,1.6324928,0.0,0.0,operational,confirmed
ntt-ashburn-va7-data-center-va,-77.471954,39.0160142,Match,51,107,611019,3000,51107611019,Virginia, Loudoun County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.6687378,244107.0,115213.0,154653.0,154653.0,1.5784175,0.0,0.0,under_construction,reported
