Unique ID,Longitude (X),Latitude (Y),Match,State_Code,County_Code,Tract_Code,Block_Code,GEOID,state,county,cbsa,poverty_rate,mfi,state_mfi,cbsa_mfi,area_mfi,mfi_ratio,eligible_lic,rural_status,DC_Status,DC_Confidence
digital-realty-silicon-valley-sjc30-ca,-121.9581107,37.3782874,Match,6,85,505202,2043,6085505202,California, Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",19.125883,163550.0,113346.0,184762.0,184762.0,0.88519287,0.0,0.0,operational,reported
cleanspark-brazoria-county-tx,-95.431,29.1694,Match,48,39,662300,4032,48039662300,Texas, Brazoria County,"Houston-Pasadena-The Woodlands, TX",17.309175,106053.0,94599.0,98582.0,98582.0,1.0757847,0.0,1.0,proposed,reported
lerner-brightseat-tech-park-md,-76.868,38.931,Match,24,33,803508,2009,24033803508,Maryland, Prince George's County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",26.019314,94348.0,127817.0,154653.0,154653.0,0.61006254,1.0,0.0,permitted,confirmed
adp-ladysmith-data-hub-caroline-va,-77.5030262165529,38.00386898862997,Match,51,33,30502,1000,51033030502,Virginia, Caroline County,,12.431973,91045.0,115213.0,,115213.0,0.790232,0.0,1.0,proposed,reported
coresite-la1-los-angeles-ca,-118.2555541,34.0478871,Match,6,37,207712,2010,6037207712,California, Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",26.686808,105106.0,113346.0,108949.0,108949.0,0.96472663,1.0,0.0,operational,reported
stack-infrastructure-goldendale-data-center-wa,-120.8217,45.8213,Match,53,39,950103,2020,53039950103,Washington, Klickitat County,,17.966963,59287.0,118075.0,,118075.0,0.50211304,1.0,1.0,proposed,reported
tierpoint-nashville-tn,-86.8556872,35.9245097,Match,47,187,50904,3007,47187050904,Tennessee, Williamson County,"Nashville-Davidson--Murfreesboro--Franklin, TN",5.8516197,135543.0,87314.0,105115.0,105115.0,1.2894734,0.0,0.0,operational,reported
cleanspark-jellico-tn,-84.1306,36.5825,Match,47,13,950200,1050,47013950200,Tennessee, Campbell County,"Knoxville, TN",24.257425,79531.0,87314.0,92008.0,92008.0,0.86439222,1.0,1.0,operational,confirmed
beale-project-blue-pima-county-az,-110.75,32.1,Match,4,19,4062,2000,4019004062,Arizona, Pima County,"Tucson, AZ",11.076828,127719.0,95980.0,90806.0,90806.0,1.406504,0.0,0.0,under_construction,confirmed
isocentric-networks-tulsa-ok,-95.9928,36.154,Match,40,143,2500,1044,40143002500,Oklahoma, Tulsa County,"Tulsa, OK",23.428375,72317.0,82385.0,88320.0,88320.0,0.81880659,1.0,0.0,operational,reported
long-ferry-road-rowan-county-nc,-80.3974,35.6944,Match,37,159,50901,1031,37159050901,North Carolina, Rowan County,"Charlotte-Concord-Gastonia, NC-SC",17.91292,62277.0,90290.0,102246.0,102246.0,0.60908985,1.0,1.0,proposed,reported
digital-realty-727-s-grand-ave-la-ca,-118.257149,34.046823,Match,6,37,207712,1000,6037207712,California, Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",26.686808,105106.0,113346.0,108949.0,108949.0,0.96472663,1.0,0.0,proposed,reported
applied-digital-jamestown-nd,-98.679092,47.029587,Match,38,93,967000,1329,38093967000,North Dakota, Stutsman County,,7.2864323,130789.0,104993.0,,104993.0,1.2456926,0.0,1.0,operational,confirmed
alterra-development-marshall-mi,-84.955,42.276,Match,26,25,3900,3009,26025003900,Michigan, Calhoun County,"Battle Creek, MI",4.5114436,133058.0,93357.0,79554.0,79554.0,1.6725495,0.0,1.0,proposed,confirmed
h5-data-centers-albuquerque-nm,-106.6512,35.0862,Match,35,1,2100,1030,35001002100,New Mexico, Bernalillo County,"Albuquerque, NM",21.513447,34821.0,79556.0,88526.0,88526.0,0.39334208,1.0,0.0,operational,reported
stream-chicago-iii-ordc-elk-grove-village-il,-87.9703,42.0039,Match,17,31,770300,3018,17031770300,Illinois, Cook County,"Chicago-Naperville-Elgin, IL-IN",8.7209301,97601.0,106018.0,113207.0,113207.0,0.86214632,0.0,0.0,under_construction,reported
aws-project-spectrum-somervell-county-tx,-97.7561,32.2373,Match,48,425,200,1021,48425000200,Texas, Somervell County,,7.0175438,99091.0,94599.0,,94599.0,1.0474846,0.0,1.0,proposed,reported
ntt-ashburn-va2-data-center-va,-77.4576402,39.0250127,Match,51,107,611006,1014,51107611006,Virginia, Loudoun County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.078522,211875.0,115213.0,154653.0,154653.0,1.3700025,0.0,0.0,operational,reported
bitdeer-rockdale-tx,-97.0025,30.6549,Match,48,331,950700,1029,48331950700,Texas, Milam County,,8.4982748,102819.0,94599.0,,94599.0,1.0868931,0.0,1.0,operational,confirmed
google-jackson-county-stevenson-al,-85.755,34.8842,Match,1,71,950302,1055,1071950302,Alabama, Jackson County,,35.121952,45938.0,83032.0,,83032.0,0.55325657,1.0,1.0,operational,confirmed
google-stillwater-ok,-97.06,36.14,Match,40,119,10102,4009,40119010102,Oklahoma, Payne County,,37.76091,66797.0,82385.0,,82385.0,0.81079078,1.0,1.0,under_construction,confirmed
google-nebraska-ai-campus-proposed,-96.371,40.474,Match,31,97,967500,2017,31097967500,Nebraska, Johnson County,,7.2952852,89000.0,99751.0,,99751.0,0.89222163,0.0,1.0,proposed,reported
sholes-wind-energy-center-wayne-ne,-97.0178,42.2308,Match,31,179,978700,4034,31179978700,Nebraska, Wayne County,,18.938627,80625.0,99751.0,,99751.0,0.80826259,0.0,1.0,operational,reported
lumen-cincinnati-1-oh,-84.5031833,39.1019019,Match,39,61,26500,2007,39061026500,Ohio, Hamilton County,"Cincinnati, OH-KY-IN",25.528219,106364.0,92749.0,104379.0,104379.0,1.0190172,1.0,0.0,operational,confirmed
microsoft-boydton-bn-campus-mecklenburg-va,-78.36487,36.65969,Match,51,117,930600,1034,51117930600,Virginia, Mecklenburg County,,15.711947,83281.0,115213.0,,115213.0,0.72284377,0.0,1.0,operational,reported
lumen-cleveland-1-oh,-81.6577764,41.5050658,Match,39,35,108301,2027,39035108301,Ohio, Cuyahoga County,"Cleveland, OH",26.6061,45333.0,92749.0,95803.0,95803.0,0.47318977,1.0,0.0,operational,reported
valorc3-oklahoma-city-ok,-97.5164,35.4676,Match,40,109,980007,1008,40109980007,Oklahoma, Oklahoma County,"Oklahoma City, OK",28.117359,165278.0,82385.0,90681.0,90681.0,1.822631,0.0,0.0,operational,reported
bitfarms-moses-lake-wa,-119.2781,47.1301,Match,53,25,11102,1012,53025011102,Washington, Grant County,,31.021801,65149.0,118075.0,,118075.0,0.55175948,1.0,1.0,under_construction,confirmed
digital-realty-charlotte-nc,-80.9562,35.2422,Match,37,119,5919,2004,37119005919,North Carolina, Mecklenburg County,"Charlotte-Concord-Gastonia, NC-SC",2.6275587,111184.0,90290.0,102246.0,102246.0,1.0874166,0.0,0.0,permitted,confirmed
flexential-charlotte-north-clt04-05-nc,-80.7657588,35.329773,Match,37,119,5533,1007,37119005533,North Carolina, Mecklenburg County,"Charlotte-Concord-Gastonia, NC-SC",13.614704,88625.0,90290.0,102246.0,102246.0,0.86678207,0.0,0.0,operational,reported
riot-platforms-corsicana-tx,-96.47,32.09,Match,48,349,970800,1094,48349970800,Texas, Navarro County,,16.185696,90179.0,94599.0,,94599.0,0.95327646,0.0,1.0,operational,reported
rattlesnake-creek-wind-dixon-ne,-96.8,42.35,Match,31,51,977800,1183,31051977800,Nebraska, Dixon County,,7.5299306,81719.0,99751.0,,99751.0,0.8192299,0.0,1.0,operational,confirmed
cloverleaf-cherry-blossom-frenchtown-mi,-83.386,41.988,Match,26,115,831100,1025,26115831100,Michigan, Monroe County,"Monroe, MI",12.756114,89000.0,93357.0,95770.0,95770.0,0.92930979,0.0,1.0,proposed,confirmed
burt-county-solar-tekamah-ne,-96.2214,41.7778,Match,31,21,963300,1108,31021963300,Nebraska, Burt County,,13.121019,86250.0,99751.0,,99751.0,0.86465299,0.0,1.0,proposed,reported
valley-oak-shinn-street-fremont-ca,-121.983674,37.567072,Match,6,1,441924,3002,6001441924,California, Alameda County,"San Francisco-Oakland-Fremont, CA",9.6995258,206944.0,113346.0,164296.0,164296.0,1.2595803,0.0,0.0,proposed,reported
nautilus-cryptomine-building-1-pa,-76.1514194,41.0826255,Match,42,79,216100,2016,42079216100,Pennsylvania, Luzerne County,"Scranton--Wilkes-Barre, PA",6.2263675,99441.0,100262.0,85514.0,85514.0,1.1628622,0.0,1.0,operational,reported
davis-besse-nuclear-ottawa-county-oh,-83.08639,41.59667,Match,39,123,50800,1003,39123050800,Ohio, Ottawa County,"Sandusky, OH",4.6277666,99904.0,92749.0,93585.0,93585.0,1.0675215,0.0,1.0,operational,confirmed
logix-reality-frankfort-clinton-county-in,-86.5108,40.2792,Match,18,23,950800,1009,18023950800,Indiana, Clinton County,,18.468084,72706.0,90767.0,,90767.0,0.801018,0.0,1.0,cancelled,reported
flexential-denver-downtown-champa-co,-104.9941589,39.7459702,Match,8,31,1707,2000,8031001707,Colorado, Denver County,"Denver-Aurora-Centennial, CO",7.9661016,250000.0,119139.0,132002.0,132002.0,1.8939106,0.0,0.0,operational,reported
google-project-dazzler-franklin-furnace-oh,-82.72,38.68,Match,39,145,2700,3050,39145002700,Ohio, Scioto County,,10.206637,86202.0,92749.0,,92749.0,0.92941165,0.0,1.0,permitted,confirmed
lightedge-ames-ia,-93.6319,42.0308,Match,19,169,500,2009,19169000500,Iowa, Story County,"Ames, IA",58.213985,29189.0,97491.0,114739.0,114739.0,0.25439477,1.0,0.0,proposed,reported
intermountain-power-delta-ut,-112.57998,39.51034,Match,49,27,974100,1020,49027974100,Utah, Millard County,,9.0486336,78261.0,109675.0,,109675.0,0.71357191,0.0,1.0,operational,confirmed
tract-project-range-buckeye-goodyear-az,-112.512,33.435,Match,4,13,50613,3000,4013050613,Arizona, Maricopa County,"Phoenix-Mesa-Chandler, AZ",0.73900503,107012.0,95980.0,103615.0,103615.0,1.0327848,0.0,0.0,proposed,reported
h5-data-centers-st-paul-mn,-93.167,44.974,Match,27,123,30100,3000,27123030100,Minnesota, Ramsey County,"Minneapolis-St. Paul-Bloomington, MN-WI",5.7188067,137926.0,113993.0,126705.0,126705.0,1.08856,0.0,0.0,operational,reported
meta-kuna-id,-116.418,43.491,Match,16,1,10404,2013,16001010404,Idaho, Ada County,"Boise City, ID",14.984552,89203.0,92668.0,101292.0,101292.0,0.88065195,0.0,1.0,under_construction,confirmed
cyrusone-new-albany-col1-licking-county-oh,-82.718059,40.09294,Match,39,89,755601,1031,39089755601,Ohio, Licking County,"Columbus, OH",2.3718438,170039.0,92749.0,104588.0,104588.0,1.6257983,0.0,0.0,under_construction,confirmed
viking-energy-center-cedar-falls-ia,-92.4805,42.4905,Match,19,13,2606,1000,19013002606,Iowa, Black Hawk County,"Waterloo-Cedar Falls, IA",6.8850636,202067.0,97491.0,90741.0,90741.0,2.2268546,0.0,0.0,permitted,reported
flexential-las-vegas-north-las04-nv,-115.1012553,36.2481633,Match,32,3,3626,1021,32003003626,Nevada, Clark County,"Las Vegas-Henderson-North Las Vegas, NV",7.1932297,128480.0,92663.0,89785.0,89785.0,1.430974,0.0,0.0,operational,reported
vermaland-la-osa-eloy-az,-111.55,32.75,Match,4,21,2004,1066,4021002004,Arizona, Pinal County,"Phoenix-Mesa-Chandler, AZ",30.74262,54046.0,95980.0,103615.0,103615.0,0.521604,1.0,1.0,cancelled,reported
cleanspark-twin-city-ga,-82.1551,32.5829,Match,13,107,970101,2099,13107970101,Georgia, Emanuel County,,24.098961,68924.0,93754.0,,93754.0,0.73515797,1.0,1.0,operational,confirmed
digital-realty-ord11-il,-87.6299404,41.8743036,Match,17,31,839000,1000,17031839000,Illinois, Cook County,"Chicago-Naperville-Elgin, IL-IN",15.946844,170407.0,106018.0,113207.0,113207.0,1.5052691,0.0,0.0,operational,reported
compass-statesville-nc,-80.8873,35.7826,Match,37,97,60300,3000,37097060300,North Carolina, Iredell County,"Charlotte-Concord-Gastonia, NC-SC",25.135233,58234.0,90290.0,102246.0,102246.0,0.56954795,1.0,1.0,proposed,confirmed
duke-energy-buck-combustion-turbines-rowan-county-nc,-80.37694,35.71194,Match,37,159,50901,1007,37159050901,North Carolina, Rowan County,"Charlotte-Concord-Gastonia, NC-SC",17.91292,62277.0,90290.0,102246.0,102246.0,0.60908985,1.0,1.0,proposed,reported
dc-blox-atlanta-west-ga,-84.6608,33.7882,Match,13,97,80204,1020,13097080204,Georgia, Douglas County,"Atlanta-Sandy Springs-Roswell, GA",5.9840426,78728.0,93754.0,107388.0,107388.0,0.73311728,0.0,0.0,under_construction,confirmed
tierpoint-kansas-city-lenexa-ks,-94.7552326,38.9406295,Match,20,91,980001,1035,20091980001,Kansas, Johnson County,"Kansas City, MO-KS",,,95810.0,106867.0,106867.0,,0.0,0.0,operational,reported
cascade-advanced-energy-facility-wa,-119.3339,46.4706,Match,53,5,12000,1013,53005012000,Washington, Benton County,"Kennewick-Richland, WA",,,118075.0,101145.0,101145.0,,0.0,0.0,proposed,confirmed
tierpoint-baltimore-bwi-md,-76.682834,39.213455,Match,24,3,751200,2012,24003751200,Maryland, Anne Arundel County,"Baltimore-Columbia-Towson, MD",3.0109146,144336.0,127817.0,126229.0,126229.0,1.1434456,0.0,0.0,operational,reported
agriforce-east-palestine-columbiana-oh,-80.5432,40.8326,Match,39,29,951500,5025,39029951500,Ohio, Columbiana County,,17.938931,56106.0,92749.0,,92749.0,0.60492295,1.0,1.0,operational,reported
copt-defense-properties-van-meter-ia,-93.9469,41.5031,Match,19,121,60101,2013,19121060101,Iowa, Madison County,"Des Moines-West Des Moines, IA",5.3378029,122170.0,97491.0,110255.0,110255.0,1.1080676,0.0,0.0,proposed,reported
digihost-north-tonawanda-ny,-78.85360658271534,43.0483121591696,Match,36,63,22804,2019,36063022804,New York, Niagara County,"Buffalo-Cheektowaga, NY",8.7682676,81429.0,106873.0,96701.0,96701.0,0.84206986,0.0,0.0,operational,confirmed
equinix-sv2-ca,-121.9549839,37.3784704,Match,6,85,505202,2042,6085505202,California, Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",19.125883,163550.0,113346.0,184762.0,184762.0,0.88519287,0.0,0.0,operational,reported
bitdeer-whitetail-creek-trumbull-county-oh,-80.77,41.19,Match,39,155,932801,2005,39155932801,Ohio, Trumbull County,"Youngstown-Warren, OH",12.769354,64239.0,92749.0,76609.0,76609.0,0.83853072,0.0,0.0,proposed,reported
microsoft-conover-catawba-county-nc,-81.2184,35.7065,Match,37,35,10102,1014,37035010102,North Carolina, Catawba County,"Hickory-Lenoir-Morganton, NC",13.216314,95162.0,90290.0,76116.0,76116.0,1.2502234,0.0,1.0,under_construction,confirmed
switch-las-vegas-14-nv,-115.2213882,36.0629139,Match,32,3,2979,1029,32003002979,Nevada, Clark County,"Las Vegas-Henderson-North Las Vegas, NV",4.1470127,104167.0,92663.0,89785.0,89785.0,1.1601827,0.0,0.0,operational,reported
aligned-conesville-oh,-81.83,40.27,Match,39,31,961700,1019,39031961700,Ohio, Coshocton County,,16.47315,90200.0,92749.0,,92749.0,0.97251725,0.0,1.0,under_construction,reported
cyrusone-pnw1-quincy-wa,-119.8528,47.2334,Match,53,25,10600,2019,53025010600,Washington, Grant County,,8.8303165,90379.0,118075.0,,118075.0,0.76543725,0.0,1.0,operational,confirmed
bobcat-energy-center-ia,-92.908,42.0494,Match,19,127,950500,4027,19127950500,Iowa, Marshall County,,12.927009,76912.0,97491.0,,97491.0,0.78891385,0.0,1.0,permitted,confirmed
vaultas-st-cloud-mn,-94.2023528,45.5405392,Match,27,145,401,1003,27145000401,Minnesota, Stearns County,"St. Cloud, MN",18.213207,77226.0,113993.0,99597.0,99597.0,0.77538478,0.0,0.0,proposed,reported
aws-pdx154-boardman-airport-or,-119.81621,45.81556,Match,41,49,970101,3064,41049970101,Oregon, Morrow County,,14.84708,76777.0,102281.0,,102281.0,0.75064772,0.0,1.0,permitted,reported
aws-resilient-technology-park-shreveport-la,-93.7477839,32.5135356,Match,22,17,25300,3039,22017025300,Louisiana, Caddo Parish,"Shreveport-Bossier City, LA",61.094223,14367.0,79407.0,75242.0,75242.0,0.19094388,1.0,0.0,proposed,reported
stack-svy01-ca,-121.891051,37.4027449,Match,6,85,504322,2001,6085504322,California, Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",14.22895,177746.0,113346.0,184762.0,184762.0,0.96202683,0.0,0.0,operational,reported
data-holdings-milwaukee-wi,-87.9540068,43.0437366,Match,55,79,13600,3002,55079013600,Wisconsin, Milwaukee County,"Milwaukee-Waukesha, WI",41.099346,80000.0,100141.0,104346.0,104346.0,0.76668006,1.0,0.0,operational,confirmed
tract-buckeye-tech-corridor-az,-112.7203,33.4136,Match,4,13,50604,2022,4013050604,Arizona, Maricopa County,"Phoenix-Mesa-Chandler, AZ",9.8280096,86481.0,95980.0,103615.0,103615.0,0.83463782,0.0,0.0,permitted,reported
aws-butts-county-ga,-83.9663,33.2946,Match,13,35,150201,1032,13035150201,Georgia, Butts County,"Atlanta-Sandy Springs-Roswell, GA",19.040953,50618.0,93754.0,107388.0,107388.0,0.47135621,1.0,1.0,proposed,confirmed
spalding-investments-high-falls-road-campus-ga,-84.2641,33.2468,Match,13,255,161202,1011,13255161202,Georgia, Spalding County,"Atlanta-Sandy Springs-Roswell, GA",21.699545,76654.0,93754.0,107388.0,107388.0,0.71380413,1.0,1.0,permitted,reported
hostdime-eatonville-fl,-81.3806,28.6106,Match,12,95,18000,2022,12095018000,Florida, Orange County,"Orlando-Kissimmee-Sanford, FL",21.839081,56818.0,89891.0,91538.0,91538.0,0.620704,1.0,0.0,under_construction,confirmed
crg-festus-data-center-mo,-90.399,38.2192,Match,29,99,700801,5031,29099700801,Missouri, Jefferson County,"St. Louis, MO-IL",14.089858,84715.0,91360.0,105167.0,105167.0,0.80552834,0.0,0.0,permitted,reported
ryan-companies-project-swan-lakeland-fl,-82.0054,28.0305,Match,12,105,12003,1030,12105012003,Florida, Polk County,"Lakeland-Winter Haven, FL",8.0545225,77193.0,89891.0,76474.0,76474.0,1.0094019,0.0,0.0,proposed,reported
armstrong-power-south-bend-township-armstrong-county-pa,-79.417,40.667,Match,42,5,951700,1002,42005951700,Pennsylvania, Armstrong County,"Pittsburgh, PA",5.6881814,95521.0,100262.0,102107.0,102107.0,0.93549901,0.0,1.0,operational,reported
ocosa-321-south-boston-tulsa-ok,-95.9905,36.1535,Match,40,143,2500,1062,40143002500,Oklahoma, Tulsa County,"Tulsa, OK",23.428375,72317.0,82385.0,88320.0,88320.0,0.81880659,1.0,0.0,operational,reported
menlo-digital-jamestown-drive-petersburg-va,-77.363,37.199,Match,51,730,811200,1000,51730811200,Virginia, Petersburg city,"Richmond, VA",14.890852,47371.0,115213.0,110863.0,110863.0,0.42729315,1.0,0.0,permitted,confirmed
databank-pit2-summit-park-pittsburgh-pa,-80.1697,40.4433,Match,42,3,459201,2026,42003459201,Pennsylvania, Allegheny County,"Pittsburgh, PA",4.6615491,127574.0,100262.0,102107.0,102107.0,1.2494148,0.0,0.0,operational,reported
novva-west-jordan-power-ut,-112.04576,40.57389,Match,49,35,115211,3028,49035115211,Utah, Salt Lake County,"Salt Lake City-Murray, UT",7.4424343,137180.0,109675.0,116518.0,116518.0,1.1773288,0.0,0.0,permitted,confirmed
peak-mining-texas-1-corpus-christi-tx,-97.4263,27.8487,Match,48,355,6300,1001,48355006300,Texas, Nueces County,"Corpus Christi, TX",34.827194,49920.0,94599.0,79893.0,79893.0,0.62483573,1.0,0.0,operational,confirmed
stack-hillsboro-or,-122.9898,45.5229,Match,41,67,32604,3014,41067032604,Oregon, Washington County,"Portland-Vancouver-Hillsboro, OR-WA",6.2601986,109008.0,102281.0,119276.0,119276.0,0.91391397,0.0,0.0,proposed,reported
coresite-at1-atlanta-ga-ga,-84.3911712,33.7559857,Match,13,121,11901,1032,13121011901,Georgia, Fulton County,"Atlanta-Sandy Springs-Roswell, GA",23.299101,,93754.0,107388.0,107388.0,,1.0,0.0,operational,reported
coresite-la2-los-angeles-ca-ca,-118.2359144,34.0584789,Match,6,37,206020,1015,6037206020,California, Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",7.5555553,156316.0,113346.0,108949.0,108949.0,1.4347631,0.0,0.0,operational,reported
stack-stafford-technology-campus-va,-77.485,38.365,Match,51,179,10304,3004,51179010304,Virginia, Stafford County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",9.7730227,103765.0,115213.0,154653.0,154653.0,0.67095369,1.0,1.0,permitted,confirmed
flexential-salt-lake-city-downtown-ut,-111.9548375,40.7563065,Match,49,35,114500,3015,49035114500,Utah, Salt Lake County,"Salt Lake City-Murray, UT",13.612904,101516.0,109675.0,116518.0,116518.0,0.87124735,0.0,0.0,operational,reported
rowan-bauxite-ii-frederick-md,-77.515,39.34,Match,24,21,752502,2021,24021752502,Maryland, Frederick County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.7817836,157986.0,127817.0,154653.0,154653.0,1.0215515,0.0,1.0,permitted,confirmed
wylie-capital-broadway-merrillville-in,-87.3328,41.4828,Match,18,89,42503,1001,18089042503,Indiana, Lake County,"Chicago-Naperville-Elgin, IL-IN",6.3011971,88125.0,90767.0,113207.0,113207.0,0.77844125,0.0,0.0,proposed,reported
